t,gt_x,gt_y,gt_z,gt_roll,gt_pitch,gt_yaw,est_x,est_y,est_z,est_roll,est_pitch,est_yaw
0.0000,-0.006447,-0.002272,-2.797691,0.000037,0.000754,-0.001333,0.415112,0.045539,-2.158019,-0.000113,0.000724,-0.001337
0.0000,-0.006447,-0.002272,-2.797691,0.000037,0.000754,-0.001333,0.415112,0.045539,-2.158019,-0.000113,0.000724,-0.001337
0.0500,-0.006448,-0.002272,-2.797559,0.000036,0.000755,-0.001333,0.426757,0.048203,-2.118403,0.000105,0.000708,-0.001287
0.1020,-0.006448,-0.002272,-2.797428,0.000035,0.000757,-0.001333,0.434582,0.049980,-2.122965,-0.000150,0.000881,-0.001383
0.1500,-0.006449,-0.002272,-2.797299,0.000034,0.000758,-0.001333,0.446227,0.052645,-2.088260,0.000011,0.000789,-0.001329
0.2000,-0.006449,-0.002272,-2.797170,0.000034,0.000760,-0.001333,0.454048,0.054422,-2.090747,-0.000039,0.000818,-0.001367
0.2500,-0.006450,-0.002271,-2.797044,0.000033,0.000761,-0.001333,0.465691,0.057087,-2.060845,-0.000193,0.000851,-0.001361
0.3000,-0.006450,-0.002271,-2.796918,0.000032,0.000762,-0.001333,0.473508,0.058867,-2.061658,0.000276,0.000770,-0.001374
0.3500,-0.006451,-0.002271,-2.796794,0.000032,0.000763,-0.001333,0.485157,0.061532,-2.036331,0.000047,0.000775,-0.001351
0.4000,-0.006451,-0.002271,-2.796671,0.000031,0.000764,-0.001333,0.492973,0.063311,-2.035828,-0.000065,0.000788,-0.001284
0.4520,-0.006452,-0.002271,-2.796549,0.000031,0.000765,-0.001333,0.357086,0.055586,-2.014757,-0.000096,0.000648,-0.001355
0.5000,-0.006452,-0.002271,-2.796428,0.000030,0.000766,-0.001333,0.360539,0.057059,-2.013251,0.000053,0.000754,-0.001357
0.5500,-0.006453,-0.002271,-2.796309,0.000030,0.000767,-0.001333,0.365705,0.059268,-1.996091,0.000103,0.000688,-0.001290
0.6000,-0.006454,-0.002271,-2.796191,0.000029,0.000768,-0.001333,0.369155,0.060741,-1.993859,0.000014,0.000747,-0.001339
0.6500,-0.006454,-0.002270,-2.796074,0.000029,0.000769,-0.001333,0.374319,0.062953,-1.980202,0.000012,0.000691,-0.001356
0.7000,-0.006455,-0.002270,-2.795958,0.000028,0.000769,-0.001333,0.377766,0.064428,-1.977476,0.000086,0.000785,-0.001181
0.7500,-0.006455,-0.002270,-2.795844,0.000028,0.000770,-0.001333,0.382928,0.066640,-1.966913,-0.000087,0.000670,-0.001389
0.8000,-0.006456,-0.002270,-2.795731,0.000028,0.000771,-0.001333,0.386374,0.068117,-1.963887,0.000057,0.000636,-0.001304
0.8500,-0.006456,-0.002270,-2.795618,0.000027,0.000772,-0.001333,0.391539,0.070331,-1.956010,0.000151,0.000847,-0.001394
0.9000,-0.006457,-0.002270,-2.795507,0.000027,0.000772,-0.001333,0.394986,0.071805,-1.952843,-0.000154,0.000720,-0.001376
0.9500,-0.006457,-0.002270,-2.795397,0.000027,0.000773,-0.001333,0.400154,0.074021,-1.947261,-0.000013,0.000579,-0.001427
1.0000,-0.006458,-0.002270,-2.795288,0.000026,0.000773,-0.001333,0.403598,0.075500,-1.944078,-0.000036,0.000758,-0.001410
1.0500,-0.006458,-0.002270,-2.795181,0.000026,0.000774,-0.001333,0.408768,0.077719,-1.940421,-0.000000,0.000730,-0.001449
1.1000,-0.006459,-0.002270,-2.795074,0.000026,0.000775,-0.001333,0.412213,0.079198,-1.937322,0.000150,0.000837,-0.001237
1.1520,-0.006459,-0.002269,-2.794969,0.000026,0.000775,-0.001333,0.417386,0.081416,-1.935249,-0.000092,0.000811,-0.001420
1.2000,-0.006460,-0.002269,-2.794864,0.000025,0.000776,-0.001333,0.420831,0.082895,-1.932308,0.000203,0.000793,-0.001576
1.2500,-0.006460,-0.002269,-2.794761,0.000025,0.000776,-0.001333,0.426006,0.085110,-1.931508,-0.000099,0.000751,-0.001322
1.3000,-0.006461,-0.002269,-2.794658,0.000025,0.000777,-0.001333,0.429449,0.086587,-1.928777,0.000088,0.000942,-0.001326
1.3500,-0.006461,-0.002269,-2.794557,0.000025,0.000777,-0.001333,0.434626,0.088799,-1.928977,0.000107,0.000788,-0.001306
1.4020,-0.006462,-0.002269,-2.794457,0.000025,0.000777,-0.001333,0.438072,0.090273,-1.926491,-0.000183,0.000768,-0.001257
1.4500,-0.006462,-0.002269,-2.794357,0.000025,0.000778,-0.001333,-0.198349,-0.064548,-1.927414,0.000101,0.000869,-0.001334
1.5000,-0.006463,-0.002269,-2.794259,0.000024,0.000778,-0.001333,-0.214084,-0.067769,-1.925188,-0.000029,0.000764,-0.001374
1.5500,-0.006463,-0.002269,-2.794162,0.000024,0.000779,-0.001333,-0.237682,-0.072596,-1.926699,-0.000042,0.000755,-0.001357
1.6000,-0.006464,-0.002269,-2.794065,0.000024,0.000779,-0.001333,-0.253416,-0.075814,-1.924745,-0.000080,0.000832,-0.001439
1.6500,-0.006464,-0.002269,-2.793970,0.000024,0.000779,-0.001333,-0.277010,-0.080639,-1.926631,-0.000026,0.000747,-0.001330
1.7000,-0.006464,-0.002269,-2.793876,0.000024,0.000780,-0.001333,-0.292743,-0.083856,-1.924949,0.000062,0.000874,-0.001276
